Position	LoadVarName	TidyName	OriginalName
202	V202	BodyAccMag_std	tBodyAccMag-std()
214	V214	GravityAccMag_mean	tGravityAccMag-mean()
215	V215	GravityAccMag_std	tGravityAccMag-std()
227	V227	BodyAccJerkMag_mean	tBodyAccJerkMag-mean()
228	V228	BodyAccJerkMag_std	tBodyAccJerkMag-std()
240	V240	BodyGyroMag_mean	tBodyGyroMag-mean()
241	V241	BodyGyroMag_std	tBodyGyroMag-std()
253	V253	BodyGyroJerkMag_mean	tBodyGyroJerkMag-mean()
254	V254	BodyGyroJerkMag_std	tBodyGyroJerkMag-std()
266	V266	fBodyAcc_mean_X	fBodyAcc-mean()-X
267	V267	fBodyAcc_mean_Y	fBodyAcc-mean()-Y
268	V268	fBodyAcc_mean_Z	fBodyAcc-mean()-Z
269	V269	fBodyAcc_std_X	fBodyAcc-std()-X
270	V270	fBodyAcc_std_Y	fBodyAcc-std()-Y
271	V271	fBodyAcc_std_Z	fBodyAcc-std()-Z
294	V294	fBodyAcc_meanFreq_X	fBodyAcc-meanFreq()-X
295	V295	fBodyAcc_meanFreq_Y	fBodyAcc-meanFreq()-Y
296	V296	fBodyAcc_meanFreq_Z	fBodyAcc-meanFreq()-Z
345	V345	fBodyAccJerk_mean_X	fBodyAccJerk-mean()-X
346	V346	fBodyAccJerk_mean_Y	fBodyAccJerk-mean()-Y
347	V347	fBodyAccJerk_mean_Z	fBodyAccJerk-mean()-Z
348	V348	fBodyAccJerk_std_X	fBodyAccJerk-std()-X
349	V349	fBodyAccJerk_std_Y	fBodyAccJerk-std()-Y                                 
350	V350	fBodyAccJerk_std_Z	fBodyAccJerk-std()-Z
373	V373	fBodyAccJerk_meanFreq_X	fBodyAccJerk-meanFreq()-X
374	V374	fBodyAccJerk_meanFreq_Y	fBodyAccJerk-meanFreq()-Y
375	V375	fBodyAccJerk_meanFreq_Z	fBodyAccJerk-meanFreq()-Z
424	V424	fBodyGyro_mean_X	fBodyGyro-mean()-X
425	V425	fBodyGyro_mean_Y	fBodyGyro-mean()-Y
426	V426	fBodyGyro_mean_Z	fBodyGyro-mean()-Z
427	V427	fBodyGyro_std_X	fBodyGyro-std()-X
428	V428	fBodyGyro_std_Y	fBodyGyro-std()-Y
429	V429	fBodyGyro_std_Z	fBodyGyro-std()-Z
452	V452	fBodyGyro_meanFreq_X	fBodyGyro-meanFreq()-X
453	V453	fBodyGyro_meanFreq_Y	fBodyGyro-meanFreq()-Y
454	V454	fBodyGyro_meanFreq_Z	fBodyGyro-meanFreq()-Z
503	V503	fBodyAccMag_mean	fBodyAccMag-mean()
504	V504	fBodyAccMag_std	fBodyAccMag-std()
513	V513	fBodyAccMag_meanFreq	fBodyAccMag-meanFreq()
516	V516	fBodyBodyAccJerkMag_mean	fBodyBodyAccJerkMag-mean()
517	V517	fBodyBodyAccJerkMag_std	fBodyBodyAccJerkMag-std()
526	V526	fBodyBodyAccJerkMag_meanFreq	fBodyBodyAccJerkMag-meanFreq()
529	V529	fBodyBodyGyroMag_mean	fBodyBodyGyroMag-mean()
530	V530	fBodyBodyGyroMag_std	fBodyBodyGyroMag-std()
539	V539	fBodyBodyGyroMag_meanFreq	fBodyBodyGyroMag-meanFreq()
542	V542	fBodyBodyGyroJerkMag_mean	fBodyBodyGyroJerkMag-mean()
543	V543	fBodyBodyGyroJerkMag_std	fBodyBodyGyroJerkMag-std()
552	V552	fBodyBodyGyroJerkMag_meanFreq	fBodyBodyGyroJerkMag-meanFreq()
555	V555	angletBodyAccMean_gravity	angle(tBodyAccMean,gravity)
556	V556	angletBodyAccJerkMean_gravityMean	angle(tBodyAccJerkMean),gravityMean)
557	V557	angletBodyGyroMean_gravityMean	angle(tBodyGyroMean,gravityMean)
558	V558	angletBodyGyroJerkMean_gravityMean	angle(tBodyGyroJerkMean,gravityMean)
559	V559	angleX_gravityMean	angle(X,gravityMean)
560	V560	angleY_gravityMean	angle(Y,gravityMean)
561	V561	angleZ_gravityMean	angle(Z,gravityMean)
